Input Size (bytes),Input Size,OutlierStatus,Variable,Comparison,ExperimentA,ExperimentB,CliffsDelta,MedianRatio_A_over_B
67108864,64 MB,Without_Outliers,AES-256-GCM decrypt,purecap-benchmark ABI vs outside compartment,purecap-benchmark ABI,outside compartment,1.0,24.960854376670795
104857600,100 MB,Without_Outliers,AES-256-GCM decrypt,purecap ABI vs outside compartment,purecap ABI,outside compartment,1.0,24.98520087519775
104857600,100 MB,Without_Outliers,AES-256-GCM decrypt,purecap-benchmark ABI vs outside compartment,purecap-benchmark ABI,outside compartment,1.0,24.965981469201523
1024,1 KB,Without_Outliers,Ed25519 sign,purecap ABI vs outside compartment,purecap ABI,outside compartment,1.0,1.2172263018239198
1024,1 KB,Without_Outliers,Ed25519 sign,purecap-benchmark ABI vs outside compartment,purecap-benchmark ABI,outside compartment,1.0,1.147897070620697
4096,4 KB,Without_Outliers,Ed25519 sign,purecap ABI vs outside compartment,purecap ABI,outside compartment,1.0,1.238694308424093
4096,4 KB,Without_Outliers,Ed25519 sign,purecap-benchmark ABI vs outside compartment,purecap-benchmark ABI,outside compartment,1.0,1.143671226051552
16384,16 KB,Without_Outliers,Ed25519 sign,purecap ABI vs outside compartment,purecap ABI,outside compartment,1.0,1.1999077006317733
16384,16 KB,Without_Outliers,Ed25519 sign,purecap-benchmark ABI vs outside compartment,purecap-benchmark ABI,outside compartment,1.0,1.1615238943967918
1024,1 KB,Without_Outliers,Ed25519 verify,purecap ABI vs outside compartment,purecap ABI,outside compartment,1.0,1.091449658325184
1024,1 KB,Without_Outliers,Ed25519 verify,purecap-benchmark ABI vs outside compartment,purecap-benchmark ABI,outside compartment,1.0,1.0744610336146194
4096,4 KB,Without_Outliers,Ed25519 verify,purecap ABI vs outside compartment,purecap ABI,outside compartment,1.0,1.0968826883556688
4096,4 KB,Without_Outliers,Ed25519 verify,purecap-benchmark ABI vs outside compartment,purecap-benchmark ABI,outside compartment,1.0,1.0764855712176908
16384,16 KB,Without_Outliers,Ed25519 verify,purecap ABI vs outside compartment,purecap ABI,outside compartment,1.0,1.113195714659002
16384,16 KB,Without_Outliers,Ed25519 verify,purecap-benchmark ABI vs outside compartment,purecap-benchmark ABI,outside compartment,1.0,1.0815782597334727
