BlockSize,Outliers,Variable,Comparison,N_A,N_B,Median_A,Median_B,CliffsDelta,MedianRatio_A_over_B
700.0,Without,Read Time (ms),purecap-benchmark ABI vs outside compartment,99,95,565.153,1978.082,-1.0,0.2857075692514264
800.0,Without,Read Time (ms),purecap-benchmark ABI vs outside compartment,99,98,645.892,2260.654,-1.0,0.28571024137262935
900.0,Without,Read Time (ms),purecap-benchmark ABI vs outside compartment,100,100,726.6275,2543.2335000000003,-1.0,0.28571010094039734
1000.0,Without,Read Time (ms),purecap-benchmark ABI vs outside compartment,98,100,807.366,2825.816,-1.0,0.28571074691345794
100.0,Without,Allocation Time (ms),purecap ABI vs outside compartment,100,99,0.0075,0.001,0.781010101010101,7.5
200.0,Without,Allocation Time (ms),purecap ABI vs outside compartment,100,99,0.008,0.004,0.7966666666666666,2.0
300.0,Without,Allocation Time (ms),purecap ABI vs outside compartment,100,99,0.009,0.004,0.9084848484848485,2.25
400.0,Without,Allocation Time (ms),purecap ABI vs outside compartment,100,99,0.009,0.004,0.9385858585858586,2.25
500.0,Without,Allocation Time (ms),purecap ABI vs outside compartment,99,99,0.009,0.004,0.9808182838485868,2.25
600.0,Without,Allocation Time (ms),purecap ABI vs outside compartment,96,99,0.009,0.005,1.0,1.7999999999999998
700.0,Without,Allocation Time (ms),purecap ABI vs outside compartment,96,99,0.009,0.005,0.9719065656565656,1.7999999999999998
800.0,Without,Allocation Time (ms),purecap ABI vs outside compartment,97,99,0.011,0.005,0.9997917317504946,2.1999999999999997
900.0,Without,Allocation Time (ms),purecap ABI vs outside compartment,97,100,0.011,0.005,0.9997938144329896,2.1999999999999997
1000.0,Without,Allocation Time (ms),purecap ABI vs outside compartment,98,100,0.01,0.005,1.0,2.0
100.0,Without,Allocation Time (ms),purecap-benchmark ABI vs outside compartment,100,99,0.0045000000000000005,0.001,0.4491919191919192,4.5
200.0,Without,Allocation Time (ms),purecap-benchmark ABI vs outside compartment,100,99,0.0025,0.004,0.035555555555555556,0.625
300.0,Without,Allocation Time (ms),purecap-benchmark ABI vs outside compartment,100,99,0.004,0.004,-0.008282828282828282,1.0
400.0,Without,Allocation Time (ms),purecap-benchmark ABI vs outside compartment,100,99,0.006,0.004,0.19636363636363635,1.5
500.0,Without,Allocation Time (ms),purecap-benchmark ABI vs outside compartment,99,99,0.006,0.004,0.23773084379144985,1.5
600.0,Without,Allocation Time (ms),purecap-benchmark ABI vs outside compartment,96,99,0.007,0.005,0.3525883838383838,1.4
700.0,Without,Allocation Time (ms),purecap-benchmark ABI vs outside compartment,96,99,0.007,0.005,0.4255050505050505,1.4
800.0,Without,Allocation Time (ms),purecap-benchmark ABI vs outside compartment,97,99,0.009,0.005,0.7973549932312819,1.7999999999999998
900.0,Without,Allocation Time (ms),purecap-benchmark ABI vs outside compartment,97,100,0.01,0.005,0.6558762886597939,2.0
1000.0,Without,Allocation Time (ms),purecap-benchmark ABI vs outside compartment,98,100,0.008,0.005,0.7931632653061225,1.6
100.0,Without,Free Time (ms),purecap ABI vs outside compartment,100,100,0.0265,0.004,1.0,6.625
200.0,Without,Free Time (ms),purecap ABI vs outside compartment,100,100,0.055,0.011,1.0,5.0
300.0,Without,Free Time (ms),purecap ABI vs outside compartment,100,100,0.075,0.015,1.0,5.0
400.0,Without,Free Time (ms),purecap ABI vs outside compartment,100,100,0.106,0.015,1.0,7.066666666666666
500.0,Without,Free Time (ms),purecap ABI vs outside compartment,100,98,0.12,0.016,1.0,7.5
600.0,Without,Free Time (ms),purecap ABI vs outside compartment,91,100,0.15,0.016,1.0,9.375
700.0,Without,Free Time (ms),purecap ABI vs outside compartment,93,100,0.18,0.017,1.0,10.588235294117647
800.0,Without,Free Time (ms),purecap ABI vs outside compartment,87,100,0.209,0.018,1.0,11.61111111111111
900.0,Without,Free Time (ms),purecap ABI vs outside compartment,89,100,0.239,0.018,1.0,13.277777777777779
1000.0,Without,Free Time (ms),purecap ABI vs outside compartment,96,100,0.239,0.018,1.0,13.277777777777779
100.0,Without,Free Time (ms),purecap-benchmark ABI vs outside compartment,100,100,0.024,0.004,1.0,6.0
200.0,Without,Free Time (ms),purecap-benchmark ABI vs outside compartment,100,100,0.053,0.011,1.0,4.818181818181818
300.0,Without,Free Time (ms),purecap-benchmark ABI vs outside compartment,100,100,0.074,0.015,1.0,4.933333333333334
400.0,Without,Free Time (ms),purecap-benchmark ABI vs outside compartment,100,100,0.103,0.015,1.0,6.866666666666666
500.0,Without,Free Time (ms),purecap-benchmark ABI vs outside compartment,100,98,0.118,0.016,1.0,7.374999999999999
600.0,Without,Free Time (ms),purecap-benchmark ABI vs outside compartment,92,100,0.149,0.016,1.0,9.3125
700.0,Without,Free Time (ms),purecap-benchmark ABI vs outside compartment,93,100,0.178,0.017,1.0,10.470588235294116
800.0,Without,Free Time (ms),purecap-benchmark ABI vs outside compartment,87,100,0.209,0.018,1.0,11.61111111111111
900.0,Without,Free Time (ms),purecap-benchmark ABI vs outside compartment,89,100,0.238,0.018,1.0,13.222222222222223
1000.0,Without,Free Time (ms),purecap-benchmark ABI vs outside compartment,96,100,0.238,0.018,1.0,13.222222222222223
