BlockSize,Outliers,Variable,KW,EffectSizeName,EffectSizeValue,NormalAcrossGroups,Levene_p,GroupsIncluded
400.0,Without,Read Time (ms),< 0.001,epsilon_squared,0.888204052789263,False,1.7027777436778609e-37,purecap-benchmark ABI | purecap ABI | outside compartment
500.0,Without,Read Time (ms),< 0.001,epsilon_squared,0.8881983393363018,False,2.776742183458704e-49,purecap-benchmark ABI | purecap ABI | outside compartment
600.0,Without,Read Time (ms),< 0.001,epsilon_squared,0.8881857891159185,False,2.603225600714112e-29,purecap-benchmark ABI | purecap ABI | outside compartment
700.0,Without,Read Time (ms),< 0.001,epsilon_squared,0.8880055491120101,False,7.869106686356868e-27,purecap-benchmark ABI | purecap ABI | outside compartment
800.0,Without,Read Time (ms),< 0.001,epsilon_squared,0.8881531438704583,False,1.3183830422325707e-40,purecap-benchmark ABI | purecap ABI | outside compartment
900.0,Without,Read Time (ms),< 0.001,epsilon_squared,0.8881473620347086,False,1.6302219599801708e-40,purecap-benchmark ABI | purecap ABI | outside compartment
1000.0,Without,Read Time (ms),< 0.001,epsilon_squared,0.8881315407214991,True,5.7576098406158294e-37,purecap-benchmark ABI | purecap ABI | outside compartment
100.0,Without,Allocation Time (ms),< 0.001,epsilon_squared,0.2886662858317909,False,4.073675699054495e-06,purecap-benchmark ABI | purecap ABI | outside compartment
200.0,Without,Allocation Time (ms),< 0.001,epsilon_squared,0.2519706375927855,False,0.0002683539342534697,purecap-benchmark ABI | purecap ABI | outside compartment
300.0,Without,Allocation Time (ms),< 0.001,epsilon_squared,0.361238019665812,False,0.008876659517760578,purecap-benchmark ABI | purecap ABI | outside compartment
400.0,Without,Allocation Time (ms),< 0.001,epsilon_squared,0.3698456887060715,False,0.023720760965658238,purecap-benchmark ABI | purecap ABI | outside compartment
500.0,Without,Allocation Time (ms),< 0.001,epsilon_squared,0.42826284251908037,False,0.0742971268388956,purecap-benchmark ABI | purecap ABI | outside compartment
600.0,Without,Allocation Time (ms),< 0.001,epsilon_squared,0.4311191051900381,False,0.00012375268659732148,purecap-benchmark ABI | purecap ABI | outside compartment
700.0,Without,Allocation Time (ms),< 0.001,epsilon_squared,0.45008426407216146,False,0.0004780612540666353,purecap-benchmark ABI | purecap ABI | outside compartment
800.0,Without,Allocation Time (ms),< 0.001,epsilon_squared,0.5990658473519215,False,0.190555917987937,purecap-benchmark ABI | purecap ABI | outside compartment
900.0,Without,Allocation Time (ms),< 0.001,epsilon_squared,0.5170065413983799,False,8.687484687918129e-06,purecap-benchmark ABI | purecap ABI | outside compartment
1000.0,Without,Allocation Time (ms),< 0.001,epsilon_squared,0.6549947854853252,False,0.3153549975483362,purecap-benchmark ABI | purecap ABI | outside compartment
100.0,Without,Free Time (ms),< 0.001,epsilon_squared,0.7377232182653444,False,0.00416921292009772,purecap-benchmark ABI | purecap ABI | outside compartment
200.0,Without,Free Time (ms),< 0.001,epsilon_squared,0.7086973784912118,False,0.0004344597001801948,purecap-benchmark ABI | purecap ABI | outside compartment
300.0,Without,Free Time (ms),< 0.001,epsilon_squared,0.7072200635750133,False,0.0065199151624517095,purecap-benchmark ABI | purecap ABI | outside compartment
400.0,Without,Free Time (ms),< 0.001,epsilon_squared,0.7020757524186697,False,0.000270483667166618,purecap-benchmark ABI | purecap ABI | outside compartment
500.0,Without,Free Time (ms),< 0.001,epsilon_squared,0.7156222380618458,False,0.07542645504944934,purecap-benchmark ABI | purecap ABI | outside compartment
600.0,Without,Free Time (ms),< 0.001,epsilon_squared,0.7211620093943479,False,0.33067436127085886,purecap-benchmark ABI | purecap ABI | outside compartment
700.0,Without,Free Time (ms),< 0.001,epsilon_squared,0.729091817718871,False,0.4385804167022542,purecap-benchmark ABI | purecap ABI | outside compartment
800.0,Without,Free Time (ms),< 0.001,epsilon_squared,0.7267850352566255,False,0.35880610422423076,purecap-benchmark ABI | purecap ABI | outside compartment
900.0,Without,Free Time (ms),< 0.001,epsilon_squared,0.7286262165499331,False,0.36227737757326944,purecap-benchmark ABI | purecap ABI | outside compartment
1000.0,Without,Free Time (ms),< 0.001,epsilon_squared,0.7116388960391692,False,1.7503581450807522e-06,purecap-benchmark ABI | purecap ABI | outside compartment
